epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4937238395214081,0.0010000000474974513,1.1688473224639893,0.6890756487846375,0.8383703827857971
1,0.6966527104377747,0.0010000000474974513,0.7656168341636658,0.7058823704719543,0.8200860619544983
2,0.7071129679679871,0.0010000000474974513,0.7074217200279236,0.6554622054100037,0.8110455274581909
3,0.7280334830284119,0.0010000000474974513,0.6322970986366272,0.7478991746902466,0.7535157799720764
4,0.7803347110748291,0.0010000000474974513,0.5594493746757507,0.6890756487846375,0.7579699158668518
5,0.784518837928772,0.0010000000474974513,0.5792184472084045,0.6974790096282959,0.8850102424621582
6,0.8054393529891968,0.0010000000474974513,0.5071451663970947,0.756302535533905,0.7004238963127136
7,0.8033472895622253,0.0010000000474974513,0.509734570980072,0.6890756487846375,0.8477749228477478
8,0.8200836777687073,0.0010000000474974513,0.5020973682403564,0.756302535533905,0.7508670091629028
9,0.8200836777687073,0.0010000000474974513,0.5019563436508179,0.7058823704719543,0.7866505980491638
10,0.8096234202384949,0.0010000000474974513,0.48856255412101746,0.6974790096282959,0.8144751191139221
11,0.8284518718719482,0.00020000000949949026,0.4678981900215149,0.7226890921592712,0.8443318605422974
12,0.8514644503593445,0.00020000000949949026,0.4259500503540039,0.7899159789085388,0.7386308908462524
13,0.8619247078895569,0.00020000000949949026,0.38555264472961426,0.7394958138465881,0.7815499305725098
14,0.857740581035614,0.00020000000949949026,0.41102227568626404,0.7647058963775635,0.9204443097114563
